Category,Item,Quantity,Size,Format,Prompt,Filename,Priority
Loading Screen,Main Loading Screen,1,1920x1080,PNG,"Epic producer tycoon loading screen, turntables and studio equipment, neon city skyline background, 'PRODUCER TYCOON' title, vibrant purple and cyan colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic like Jet Set Radio, loading screen art",loading-main.png,HIGH
Loading Screen,Studio Loading Screen,1,1920x1080,PNG,"Recording studio interior loading screen, professional equipment and mixing board, warm studio lighting, music production theme, orange and brown colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, loading screen art",loading-studio.png,MEDIUM
Loading Screen,Stage Loading Screen,1,1920x1080,PNG,"Concert stage loading screen, spotlights and crowd silhouettes, energetic performance atmosphere, red and yellow colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, loading screen art",loading-stage.png,MEDIUM
Background,Home Studio Background,1,1920x1080,PNG,"Cozy bedroom studio background, basic equipment on desk, posters on walls, window with city view, warm lighting, blue and orange colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game background",bg-home-studio.png,HIGH
Background,Professional Studio Background,1,1920x1080,PNG,"High-end recording studio background, professional mixing console, acoustic panels, multiple monitors, cool professional lighting, gray and blue colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game background",bg-pro-studio.png,HIGH
Background,Legendary Studio Background,1,1920x1080,PNG,"Legendary studio background, world-class equipment, gold records on walls, panoramic city view, luxury aesthetic, gold and purple colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game background",bg-legendary-studio.png,MEDIUM
Background,Small Venue Stage,1,1920x1080,PNG,"Small club stage background, intimate venue, basic stage lights, small crowd, underground vibe, red and black colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game background",bg-small-venue.png,MEDIUM
Background,Concert Hall Stage,1,1920x1080,PNG,"Concert hall stage background, professional lighting rig, large audience, prestigious venue, blue and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game background",bg-concert-hall.png,MEDIUM
Background,Arena Stage,1,1920x1080,PNG,"Massive arena stage background, spectacular light show, huge crowd, superstar venue, purple and pink colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game background",bg-arena-stage.png,MEDIUM
Background,Festival Main Stage,1,1920x1080,PNG,"Festival main stage background, epic outdoor setup, sunset sky, massive crowd, legendary performance, orange and purple colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game background",bg-festival-stage.png,LOW
Background,Urban Street Background,1,1920x1080,PNG,"Urban street scene background, graffiti walls, street lights, city atmosphere, hip-hop culture, teal and orange colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game background",bg-urban-street.png,MEDIUM
Background,Penthouse View Background,1,1920x1080,PNG,"Luxury penthouse background, floor-to-ceiling windows, city skyline at night, success aesthetic, blue and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game background",bg-penthouse.png,LOW
Background,Record Store Background,1,1920x1080,PNG,"Vintage record store background, vinyl shelves, turntables, hip-hop posters, nostalgic vibe, brown and yellow colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game background",bg-record-store.png,LOW
Menu Background,Main Menu Background,1,1920x1080,PNG,"Main menu background, abstract music waves and city silhouette, dynamic composition, purple and cyan gradient, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, menu background",menu-main.png,HIGH
Menu Background,Settings Menu Background,1,1920x1080,PNG,"Settings menu background, geometric patterns and audio waveforms, technical aesthetic, gray and blue colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, menu background",menu-settings.png,MEDIUM
Menu Background,Shop Menu Background,1,1920x1080,PNG,"Shop menu background, equipment showcase and money symbols, commercial vibe, green and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, menu background",menu-shop.png,MEDIUM
Results Screen,Perfect Results Background,1,1920x1080,PNG,"Perfect performance results background, golden celebration, confetti and sparkles, victory theme, gold and rainbow colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, results screen",results-perfect.png,HIGH
Results Screen,Great Results Background,1,1920x1080,PNG,"Great performance results background, green success theme, stars and checkmarks, achievement vibe, green and yellow colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, results screen",results-great.png,HIGH
Results Screen,Good Results Background,1,1920x1080,PNG,"Good performance results background, blue encouraging theme, thumbs up symbols, positive vibe, blue and cyan colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, results screen",results-good.png,HIGH
Results Screen,Try Again Results Background,1,1920x1080,PNG,"Try again results background, gray motivational theme, practice symbols, encouraging vibe, gray and orange colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, results screen",results-try-again.png,MEDIUM
Beat Cover,Generic Beat Cover 1,1,512x512,PNG,"Abstract beat cover art, geometric shapes and music waves, vibrant energy, purple and pink colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, album cover art",beat-cover-01.png,LOW
Beat Cover,Generic Beat Cover 2,1,512x512,PNG,"Abstract beat cover art, urban graffiti style, street art aesthetic, red and black colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, album cover art",beat-cover-02.png,LOW
Beat Cover,Generic Beat Cover 3,1,512x512,PNG,"Abstract beat cover art, neon lights and city night, cyberpunk vibe, cyan and magenta colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, album cover art",beat-cover-03.png,LOW
Beat Cover,Generic Beat Cover 4,1,512x512,PNG,"Abstract beat cover art, vinyl record and turntable, classic hip-hop, brown and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, album cover art",beat-cover-04.png,LOW
Beat Cover,Generic Beat Cover 5,1,512x512,PNG,"Abstract beat cover art, sound waves and frequency bars, technical aesthetic, blue and green colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, album cover art",beat-cover-05.png,LOW
Beat Cover,Generic Beat Cover 6,1,512x512,PNG,"Abstract beat cover art, graffiti tags and spray paint, street culture, orange and yellow colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, album cover art",beat-cover-06.png,LOW
Beat Cover,Generic Beat Cover 7,1,512x512,PNG,"Abstract beat cover art, microphone and stage lights, performance theme, red and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, album cover art",beat-cover-07.png,LOW
Beat Cover,Generic Beat Cover 8,1,512x512,PNG,"Abstract beat cover art, boombox and cassette tapes, retro hip-hop, teal and pink colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, album cover art",beat-cover-08.png,LOW
Beat Cover,Generic Beat Cover 9,1,512x512,PNG,"Abstract beat cover art, crown and money symbols, success theme, gold and purple colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, album cover art",beat-cover-09.png,LOW
Beat Cover,Generic Beat Cover 10,1,512x512,PNG,"Abstract beat cover art, headphones and music notes, producer aesthetic, black and cyan colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, album cover art",beat-cover-10.png,LOW
Splash Screen,Game Logo Splash,1,1920x1080,PNG,"'PRODUCER TYCOON' game logo on dark background, bold typography, neon glow effect, iconic branding, purple and cyan colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, splash screen",splash-logo.png,HIGH
Splash Screen,Studio Intro Splash,1,1920x1080,PNG,"Studio equipment montage splash screen, turntables to mixing boards, progression theme, gradient colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, splash screen",splash-studio-intro.png,MEDIUM
Tutorial Screen,Tutorial Background 1,1,1920x1080,PNG,"Tutorial screen background, simple studio setup, learning environment, friendly vibe, soft blue and white colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, tutorial background",tutorial-bg-01.png,MEDIUM
Tutorial Screen,Tutorial Background 2,1,1920x1080,PNG,"Tutorial screen background, equipment showcase, educational theme, clear layout, green and gray colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, tutorial background",tutorial-bg-02.png,MEDIUM
Tutorial Screen,Tutorial Background 3,1,1920x1080,PNG,"Tutorial screen background, rhythm game explanation, gameplay focus, purple and pink colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, tutorial background",tutorial-bg-03.png,MEDIUM
