Category,Item,Quantity,Size,Format,Prompt,Filename,Priority
Skill Icon,Energy Efficiency Skill,1,128x128,PNG,"Icon of lightning bolt with efficiency arrows, bright yellow and blue colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-energy-efficiency.png,HIGH
Skill Icon,Caffeine Rush Skill,1,128x128,PNG,"Icon of steaming coffee cup with energy waves, brown and orange colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-caffeine-rush.png,HIGH
Skill Icon,Stamina Skill,1,128x128,PNG,"Icon of flexed muscle with endurance symbol, red and pink colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-stamina.png,HIGH
Skill Icon,Quality Boost Skill,1,128x128,PNG,"Icon of diamond with sparkles, cyan and white colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-quality-boost.png,HIGH
Skill Icon,Perfectionist Skill,1,128x128,PNG,"Icon of golden star with precision rays, gold and yellow colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-perfectionist.png,HIGH
Skill Icon,Master Craftsman Skill,1,128x128,PNG,"Icon of legendary hammer and anvil, purple and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-master-craftsman.png,HIGH
Skill Icon,Hustler Skill,1,128x128,PNG,"Icon of dollar bills with motion lines, green and lime colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-hustler.png,HIGH
Skill Icon,Negotiator Skill,1,128x128,PNG,"Icon of handshake with money symbols, teal and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-negotiator.png,HIGH
Skill Icon,Mogul Skill,1,128x128,PNG,"Icon of crown with stacks of cash, royal purple and gold colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game UI icon, simple and clear design",skill-mogul.png,HIGH
Contract Image,Quick Beat Contract,1,512x384,PNG,"Contract document with stopwatch icon, urgent deadline theme, orange and yellow colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game mission card",contract-quick-beat.png,MEDIUM
Contract Image,Quality Demo Contract,1,512x384,PNG,"Contract document with diamond quality badge, premium theme, cyan and silver colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game mission card",contract-quality-demo.png,MEDIUM
Contract Image,Artist Collab Contract,1,512x384,PNG,"Contract document with two microphones crossed, collaboration theme, purple and pink colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game mission card",contract-artist-collab.png,MEDIUM
Contract Image,Hit Single Contract,1,512x384,PNG,"Contract document with platinum record, hit song theme, gold and white colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game mission card",contract-hit-single.png,MEDIUM
Contract Image,Album Deal Contract,1,512x384,PNG,"Contract document with vinyl record stack, album theme, red and black colors, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, game mission card",contract-album-deal.png,MEDIUM
