Category,Item,Level,Size,Format,Specific_Prompt,Filename,Priority
Equipment,Phone,0,256x256,PNG,"Empty equipment slot, dark silhouette of a phone shape, cel-shaded art style, bold black outlines, muted gray colors, 2000s video game aesthetic, minimalist, placeholder icon",phone-0.png,HIGH
Equipment,Phone,1,256x256,PNG,"Basic flip phone from early 2000s, silver/gray color, small external screen, physical keypad visible, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic like Jet Set Radio, simple and iconic",phone-1.png,HIGH
Equipment,Phone,2,256x256,PNG,"Early smartphone with slide-out QWERTY keyboard, black/silver, small touchscreen, physical buttons, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, slightly more advanced than flip phone",phone-2.png,HIGH
Equipment,Phone,3,256x256,PNG,"First generation iPhone-style touchscreen smartphone, sleek black design, large screen, single home button, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, modern and clean",phone-3.png,HIGH
Equipment,Phone,4,256x256,PNG,"Modern flagship smartphone, edge-to-edge screen, triple camera setup, metallic blue/purple gradient, cel-shaded art style, bold black outlines, flat vibrant colors, premium feel, 2000s video game aesthetic",phone-4.png,HIGH
Equipment,Phone,5,256x256,PNG,"Professional recording smartphone with external audio interface attached, matte black, studio-grade microphone input visible, cel-shaded art style, bold black outlines, flat vibrant colors, pro audio equipment aesthetic",phone-5.png,HIGH
Equipment,Phone,6,256x256,PNG,"Tablet device with stylus, large 10-inch screen, professional audio apps visible on screen, gold/black color scheme, cel-shaded art style, bold black outlines, flat vibrant colors, premium producer tool",phone-6.png,HIGH
Equipment,Phone,7,256x256,PNG,"Portable recording workstation, touchscreen with DAW interface, multiple input jacks, RGB lighting accents, cel-shaded art style, bold black outlines, flat vibrant neon colors, futuristic producer gear",phone-7.png,HIGH
Equipment,Phone,8,256x256,PNG,"Advanced holographic recording device, floating transparent screen, gesture controls, cyan/magenta color scheme, cel-shaded art style, bold black outlines, flat vibrant colors, sci-fi aesthetic, 2000s video game style",phone-8.png,HIGH
Equipment,Phone,9,256x256,PNG,"Legendary quantum recording device, crystalline structure, energy particles floating around it, gold/white/rainbow colors, cel-shaded art style, bold black outlines, flat vibrant colors, mythical legendary item aesthetic",phone-9.png,HIGH
Equipment,Phone,10,256x256,PNG,"Ultimate divine recording artifact, glowing with pure energy, sacred geometry patterns, transcendent gold/platinum/diamond colors, cel-shaded art style, bold black outlines, flat vibrant colors, god-tier legendary equipment",phone-10.png,HIGH
