Category,Item,Quantity,Dimensions,Format,Prompt Template,File Name Pattern,Priority,Notes
Loading Screens,Main Loading Screen,1,1920x1080,PNG,"Futuristic music studio interior, neon lights, DJ equipment, turntables, synthesizers, urban cyberpunk aesthetic, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic like Jet Set Radio, no photorealism, dynamic composition",loading-screen-main.png,HIGH,Full screen background
Loading Screens,Mini Loading Spinner,1,128x128,PNG,"Spinning vinyl record icon, glowing neon effect, cel-shaded art style, bold outlines, flat colors, 2000s game aesthetic, simple iconic design",loading-spinner.png,HIGH,Animated loading indicator

Equipment,Phone Level 0-10,11,512x512,JPG,"[LEVEL] smartphone/recording device for music production, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, tech progression from basic to legendary, isometric view, clean background",equipment/phone-[0-10].jpg,DONE,Already generated ✓
Equipment,Headphones Level 0-10,11,512x512,JPG,"[LEVEL] studio headphones for music production, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, progression from basic to legendary, isometric view, clean background",equipment/headphones-[0-10].jpg,DONE,Already generated ✓
Equipment,Microphone Level 0-10,11,512x512,JPG,"[LEVEL] studio microphone for recording, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, progression from USB to vintage tube, isometric view, clean background",equipment/microphone-[0-10].jpg,DONE,Already generated ✓
Equipment,Computer Level 0-10,11,512x512,JPG,"[LEVEL] music production computer/workstation, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, progression from laptop to quantum studio, isometric view, clean background",equipment/computer-[0-10].jpg,DONE,Already generated ✓
Equipment,MIDI Controller Level 0-10,11,512x512,JPG,"[LEVEL] MIDI keyboard controller, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, progression from 25-key to Moog One, isometric view, clean background",equipment/midi-[0-10].jpg,DONE,Already generated ✓
Equipment,Audio Interface Level 0-10,11,512x512,JPG,"[LEVEL] audio interface rack unit, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, progression from Focusrite to Burl Audio, isometric view, clean background",equipment/audio-interface-[0-10].jpg,DONE,Already generated ✓

Artists,MC Flow Portrait,1,256x256,PNG,"Young hip-hop artist character portrait, confident expression, urban streetwear, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design like Jet Set Radio, anime influence, colorful background",artists/mc-flow.png,HIGH,Tier 1 artist
Artists,Lil Dreamer Portrait,1,256x256,PNG,"Dreamy trap artist character portrait, stylish outfit, modern aesthetic, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design, anime influence, purple/pink tones",artists/lil-dreamer.png,HIGH,Tier 1 artist
Artists,Street Poet Portrait,1,256x256,PNG,"Underground rapper character portrait, hoodie and chains, street style, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design, gritty urban vibe",artists/street-poet.png,HIGH,Tier 1 artist
Artists,Young Legend Portrait,1,256x256,PNG,"Rising star artist character portrait, confident pose, premium fashion, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design, golden accents",artists/young-legend.png,HIGH,Tier 1 artist
Artists,Neon Pulse Portrait,1,256x256,PNG,"Electronic music producer character portrait, futuristic outfit, neon accessories, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design, cyberpunk aesthetic",artists/neon-pulse.png,MEDIUM,Tier 2 artist
Artists,Bass Queen Portrait,1,256x256,PNG,"Female bass music producer character portrait, edgy style, confident expression, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design, electric blue theme",artists/bass-queen.png,MEDIUM,Tier 2 artist
Artists,Rhythm Master Portrait,1,256x256,PNG,"Veteran producer character portrait, wise expression, classic style, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design, gold and red tones",artists/rhythm-master.png,MEDIUM,Tier 3 artist
Artists,Sound Architect Portrait,1,256x256,PNG,"Elite producer character portrait, sophisticated look, premium aesthetic, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game character design, platinum and white theme",artists/sound-architect.png,MEDIUM,Tier 3 artist

Skills,Production Mastery Icon,1,128x128,PNG,"Mixing console icon with glowing faders, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, simple and iconic, gold accent",skills/production-mastery.png,HIGH,Quality branch root
Skills,Perfect Mix Icon,1,128x128,PNG,"Equalizer bars perfectly balanced, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, glowing green",skills/perfect-mix.png,HIGH,+5% quality
Skills,Studio Magic Icon,1,128x128,PNG,"Sparkling waveform with magic particles, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, purple glow",skills/studio-magic.png,HIGH,+10% quality
Skills,Legendary Sound Icon,1,128x128,PNG,"Golden trophy with sound waves, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, radiant gold",skills/legendary-sound.png,HIGH,+20% quality
Skills,Business Savvy Icon,1,128x128,PNG,"Dollar sign with upward arrow, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, green money theme",skills/business-savvy.png,HIGH,Money branch root
Skills,Smart Deals Icon,1,128x128,PNG,"Handshake with coins, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, blue and gold",skills/smart-deals.png,HIGH,+10% price
Skills,Market Genius Icon,1,128x128,PNG,"Brain with dollar symbols, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s game UI icon, bright cyan",skills/market-genius.png,HIGH,+25% price
