Category,Item,Quantity,Size,Format,Prompt,Filename,Priority
Artist Portrait,MC Flow Level 0,1,512x512,PNG,"Portrait of a young aspiring rapper, basic street clothes, hopeful expression, urban background, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic like Jet Set Radio, no photorealism, character portrait",artist-mc-flow-0.png,HIGH
Artist Portrait,MC Flow Level 1,1,512x512,PNG,"Portrait of MC Flow with new snapback cap, fresh white t-shirt, confident smile, graffiti wall background, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, character portrait",artist-mc-flow-1.png,HIGH
Artist Portrait,MC Flow Level 2,1,512x512,PNG,"Portrait of MC Flow with branded hoodie, gold chain necklace, determined expression, recording booth background, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, character portrait",artist-mc-flow-2.png,HIGH
Artist Portrait,MC Flow Level 3,1,512x512,PNG,"Portrait of MC Flow with designer jacket, multiple chains, professional headshot, studio background with equipment, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, character portrait",artist-mc-flow-3.png,HIGH
Artist Portrait,MC Flow Level 4,1,512x512,PNG,"Portrait of MC Flow with luxury streetwear, diamond earrings, confident pose, professional studio with city view, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, character portrait",artist-mc-flow-4.png,HIGH
Artist Portrait,MC Flow Level 5,1,512x512,PNG,"Portrait of MC Flow with custom designer outfit, platinum chains, charismatic expression, penthouse studio background, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, character portrait",artist-mc-flow-5.png,HIGH
Artist Portrait,MC Flow Level 6,1,512x512,PNG,"Portrait of MC Flow with haute couture streetwear, expensive jewelry, star quality, luxury recording complex, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, character portrait",artist-mc-flow-6.png,HIGH
Artist Portrait,MC Flow Level 7,1,512x512,PNG,"Portrait of MC Flow with iconic custom outfit, signature style, legendary presence, world-class studio with awards, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, character portrait",artist-mc-flow-7.png,HIGH
Artist Portrait,MC Flow Level 8,1,512x512,PNG,"Portrait of MC Flow with museum-worthy fashion, cultural icon status, inspiring expression, legendary studio with platinum records, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, character portrait",artist-mc-flow-8.png,HIGH
Artist Portrait,MC Flow Level 9,1,512x512,PNG,"Portrait of MC Flow with timeless legendary style, hip-hop royalty, immortal presence, hall of fame studio setting, cel-shaded art style with bold black outlines, flat vibrant colors, 2000s video game aesthetic, character portrait",artist-mc-flow-9.png,HIGH
